Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",time
Seychelles,SYC,2023,29468.951,2023
Sierra Leone,SLE,2023,3034.219,2023
Singapore,SGP,2023,127543.555,2023
Slovakia,SVK,2023,39290.434,2023
Slovenia,SVN,2023,48243.94,2023
Solomon Islands,SLB,2023,2534.0276,2023
Somalia,SOM,2023,1402.47,2023
South Africa,ZAF,2023,13690.39,2023
South Korea,KOR,2023,50572.25,2023
Spain,ESP,2023,47141.543,2023
Sri Lanka,LKA,2023,13029.524,2023
Sudan,SDN,2023,2469.1946,2023
Suriname,SUR,2023,19043.705,2023
Sweden,SWE,2023,63114.68,2023
Switzerland,CHE,2023,82557.55,2023
Syria,,,4454.8535,2022
Tajikistan,TJK,2023,4472.324,2023
Tanzania,TZA,2023,3620.7935,2023
Thailand,THA,2023,21142.664,2023
Togo,TGO,2023,2767.5166,2023
Tonga,,,6901.739,2022
Trinidad and Tobago,TTO,2023,31705.834,2023
Tunisia,TUN,2023,12552.986,2023
Turkey,TUR,2023,34609.914,2023
Turkmenistan,TKM,2023,17866.404,2023
Tuvalu,TUV,2023,5812.393,2023
Uganda,UGA,2023,2791.0557,2023
Ukraine,UKR,2023,15885.226,2023
United Arab Emirates,ARE,2023,68577.54,2023
United Kingdom,GBR,2023,54542.016,2023
United States,USA,2023,74577.51,2023
Uruguay,URY,2023,31019.31,2023
Uzbekistan,UZB,2023,10007.686,2023
Vanuatu,VUT,2023,3118.396,2023
Vietnam,VNM,2023,13491.88,2023
Zambia,ZMB,2023,3673.4841,2023
Zimbabwe,ZWE,2023,3442.2512,2023
